player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Booster-Netherwind,5/31/20,23:08:10,1590984490-13,[Essence Gatherer],19435,item:19435::::::::60,Best Available,8,PRIEST,Blackwing Lair-40 Player,Flamegor,9,469,40,|cff0070dd|Hitem:18483::::::::60:::1::::|h[Mana Channeling Wand]|h|r,,1,false,Wands,,,Wiggly-Netherwind
Booster-Netherwind,6/01/20,02:16:39,1590995799-10,[Pants of Prophecy],16814,item:16814::::::::60,Offspec / PvP/Greed,5,PRIEST,Molten Core-40 Player,Unknown,9,409,40,|cffa335ee|Hitem:16922:1503:::::::60:::::::|h[Leggings of Transcendence]|h|r,,4,false,Cloth,Legs,for PoH set.. Vael etc,Wiggly-Netherwind
Booster-Netherwind,6/15/20,00:14:56,1592198096-1,[Giantstalker's Bracers],16850,item:16850::::::::60,Guild Banking,0,PRIEST,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:16819:1884:::::::60:::::::|h[Vambraces of Prophecy]|h|r,,2,true,Mail,Wrist,,Wiggly-Netherwind
Booster-Netherwind,6/15/20,00:16:32,1592198192-2,[Tome of Tranquilizing Shot],16665,item:16665::::::::60,Best Available,2,PRIEST,Molten Core-40 Player,Magmadar,9,409,40,,,1,false,Book,,,Wiggly-Netherwind
Booster-Netherwind,6/22/20,03:14:18,1592813658-0,[Rejuvenating Gem],19395,item:19395::::::::60,Best Available,4,PRIEST,Blackwing Lair-40 Player,Flamegor,9,469,40,|cff0070dd|Hitem:18469::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,|cffa335ee|Hitem:19288::::::::60:::11::::|h[Darkmoon Card: Blue Dragon]|h|r,1,false,Miscellaneous,Trinket,,Flamegor
Booster-Netherwind,7/06/20,01:57:47,1594018667-1,[Circlet of Prophecy],16813,item:16813::::::::60,Minor Upgrade,4,PRIEST,Molten Core-40 Player,Shazzrah,9,409,40,|cffa335ee|Hitem:16921:1503:::::::60:::::::|h[Halo of Transcendence]|h|r,,3,false,Cloth,Head,"not sure if i can be awarded this, but need for poh build 7/8",Wiggly-Netherwind
Booster-Netherwind,7/06/20,02:30:07,1594020607-9,[Ancient Petrified Leaf],18703,item:18703::::::::60,Pass,1,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,,,PASS,false,Quest,,,Majordomo Executus
Booster-Netherwind,7/31/20,01:28:04,1596176884-0,[Onyxia Hide Backpack],17966,item:17966::::::::60,Best Available,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Bag,Bag,,Onyxia
Booster-Netherwind,7/31/20,01:32:12,1596177132-5,[Mature Black Dragon Sinew],18705,item:18705::::::::60,Pass,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,PASS,false,Quest,,,Onyxia
Booster-Netherwind,8/10/20,00:23:09,1597036989-2,[Ternary Mantle],21694,item:21694::::::::60,Best Available,9,PRIEST,Temple of Ahn'Qiraj-40 Player,Silithid Royalty,9,531,40,|cffa335ee|Hitem:16924:2604:::::::60:::::::|h[Pauldrons of Transcendence]|h|r,,1,false,Cloth,Shoulder,not goign for trans anymore,Silithid Royalty
Booster-Netherwind,8/17/20,02:12:13,1597648333-4,[Ring of the Martyr],21620,item:21620::::::::60,Best Available,6,PRIEST,Temple of Ahn'Qiraj-40 Player,Princess Huhuran,9,531,40,|cffa335ee|Hitem:19140::::::::60:::::::|h[Cauterizing Band]|h|r,|cff0070dd|Hitem:16058::::::::60:::11::::|h[Fordring's Seal]|h|r,1,false,Miscellaneous,Finger,this will be a hard one// WOOF,Princess Huhuran
Booster-Netherwind,8/23/20,22:34:25,1598240065-0,[Empowered Leggings],19385,item:19385::::::::60,Best Available,5,PRIEST,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:16922:2590:::::::60:::::::|h[Leggings of Transcendence]|h|r,,1,false,Cloth,Legs,"these are bis for me non trans, but im sure someone needs it mor",Chromaggus
Booster-Netherwind,9/04/20,02:40:37,1599205237-0,[Bindings of Transcendence],16926,item:16926::::::::60,Best Available,6,PRIEST,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:16819:1884:::::::60:::::::|h[Vambraces of Prophecy]|h|r,,1,false,Cloth,Wrist,"if rik helez and pro don't need, tied for bis for me",Wiggly-Netherwind
Booster-Netherwind,9/07/20,00:04:38,1599455078-15,[Imperial Qiraji Regalia],21237,item:21237::::::::60,Best Available,4,PRIEST,Temple of Ahn'Qiraj-40 Player,Princess Huhuran,9,531,40,,,1,false,Junk,,passing on scepter,Princess Huhuran
Booster-Netherwind,9/13/20,22:18:51,1600053531-10,[Robes of the Guardian Saint],21663,item:21663::::::::60,Best Available,4,PRIEST,Temple of Ahn'Qiraj-40 Player,Fankriss the Unyielding,9,531,40,|cffa335ee|Hitem:14154:1891:::::::60:::::::|h[Truefaith Vestments]|h|r,,1,false,Cloth,Chest,my non trans set bis,Fankriss the Unyielding
Booster-Netherwind,9/13/20,22:57:32,1600055852-17,[Yellow Qiraji Resonating Crystal],21324,item:21324::::::::60,Best Available,0,PRIEST,Temple of Ahn'Qiraj-40 Player,Princess Huhuran,9,531,40,,,1,false,Junk,,,Princess Huhuran
Booster-Netherwind,10/05/20,00:49:16,1601876956-9,[Gloves of the Immortal],21888,item:21888::::::::60,Offspec / PvP/Greed,3,PRIEST,Temple of Ahn'Qiraj-40 Player,Unknown,9,531,40,|cffa335ee|Hitem:16920:2617:::::::60:::::::|h[Handguards of Transcendence]|h|r,,4,false,Cloth,Hands,PvP Set,Wiggly-Netherwind
Booster-Netherwind,10/16/20,03:53:26,1602838406-4,[Robes of Transcendence],16923,item:16923::::::::60,Best Available,7,PRIEST,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:21663:1891:::::::60:::::::|h[Robes of the Guardian Saint]|h|r,,1,false,Cloth,Chest,8/8 for situational stuff!,Nefarian
Booster-Netherwind,11/09/20,03:46:27,1604915187-4,[Sapphiron Drape],17078,item:17078::::::::60,Offspec / PvP/Greed,3,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:18510:1888:::::::60:::::::|h[Hide of the Wild]|h|r,,4,false,Cloth,Back,for pvp plz,Onyxia
Booster-Netherwind,11/09/20,02:11:37,1604909497-8,[Eye of C'Thun],21221,item:21221::::::::60,Best Available,4,PRIEST,Temple of Ahn'Qiraj-40 Player,C'thun,9,531,40,,,1,false,Quest,,,C'thun
Booster-Netherwind,11/16/20,00:18:08,1605507488-16,[Grasp of the Old God],21582,item:21582::::::::60,Best Available,8,PRIEST,Temple of Ahn'Qiraj-40 Player,C'thun,9,531,40,|cffa335ee|Hitem:16925::::::::60:::::::|h[Belt of Transcendence]|h|r,,1,false,Cloth,Waist,#2 on my list,C'thun
Booster-Netherwind,11/20/20,03:44:59,1605865499-10,[Cenarion Belt],16828,item:16828::::::::60,Guild Banking,0,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:21582::::::::60:::::::|h[Grasp of the Old God]|h|r,,2,true,Leather,Waist,,Wiggly-Netherwind
Booster-Netherwind,11/20/20,03:47:41,1605865661-18,[Ancient Petrified Leaf],18703,item:18703::::::::60,Guild Banking,1,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,,,2,true,Quest,,,Majordomo Executus
Booster-Netherwind,11/20/20,03:57:09,1605866229-25,[Earthfury Belt],16838,item:16838::::::::60,Guild Banking,0,PRIEST,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:21582::::::::60:::::::|h[Grasp of the Old God]|h|r,,2,true,Mail,Waist,,Wiggly-Netherwind
Booster-Netherwind,11/29/20,23:25:32,1606713932-10,[Bracelets of Royal Redemption],21604,item:21604::::::::60,Best Available,4,PRIEST,Temple of Ahn'Qiraj-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:16926:2566:::::::60:::::::|h[Bindings of Transcendence]|h|r,,1,false,Cloth,Wrist,,Twin Emperors
Booster-Netherwind,11/30/20,00:10:59,1606716659-18,[The Burrower's Shell],23558,item:23558::::::::60,Offspec / PvP/Greed,3,PRIEST,Temple of Ahn'Qiraj-40 Player,Ouro,9,531,40,|cffa335ee|Hitem:19395::::::::60:::::::|h[Rejuvenating Gem]|h|r,|cff0070dd|Hitem:18469::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,4,false,Miscellaneous,Trinket,"passed to fork last week, but pass to real pvper",Ouro
Booster-Netherwind,12/04/20,03:57:36,1607075856-27,[Qiraji Bindings of Command],20928,item:20928::::::::60,Offspec / PvP/Greed,2,PRIEST,Temple of Ahn'Qiraj-40 Player,Viscidus,9,531,40,|cffa335ee|Hitem:21694:2604:::::::60:::::::|h[Ternary Mantle]|h|r,|cffa335ee|Hitem:16919:911:::::::60:::::::|h[Boots of Transcendence]|h|r,4,false,Quest,,,Viscidus
Booster-Netherwind,12/21/20,02:51:08,1608540668-0,[Wand of the Whispering Dead],23009,item:23009::::::::60,Best Available,8,PRIEST,Naxxramas-40 Player,Instructor Razuvious,9,533,40,|cffa335ee|Hitem:19435::::::::60:::::::|h[Essence Gatherer]|h|r,,1,false,Wands,,,Instructor Razuvious
Booster-Netherwind,12/23/20,02:29:34,1608712174-0,[Touch of Frost],22935,item:22935::::::::60,Best Available,7,PRIEST,Naxxramas-40 Player,Anub'Rekhan,9,533,40,|cffa335ee|Hitem:21712::::::::60:::11::::|h[Amulet of the Fallen God]|h|r,,1,false,Miscellaneous,Neck,,Anub'Rekhan
Pikotoro-Netherwind,9/11/20,03:46:07,1599813967-16,[Taut Dragonhide Gloves],19390,item:19390::::::::60,Offspec / PvP/Greed,3,SHAMAN,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:21462:2617:::::::60:::::::|h[Gloves of Dark Wisdom]|h|r,,4,false,Leather,Hands,,Wiggly-Netherwind
Pikotoro-Netherwind,9/11/20,03:47:33,1599814053-18,[Therazane's Link],19380,item:19380::::::::60,Offspec / PvP/Greed,7,SHAMAN,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:19829::::::::60:::11::::|h[Zandalar Augur's Belt]|h|r,,4,false,Mail,Waist,,Nefarian
Pikotoro-Netherwind,9/13/20,22:44:17,1600055057-16,[Green Qiraji Resonating Crystal],21323,item:21323::::::::60,Best Available,0,SHAMAN,Temple of Ahn'Qiraj-40 Player,Princess Huhuran,9,531,40,,,1,false,Junk,,,Princess Huhuran
Pikotoro-Netherwind,9/18/20,03:00:47,1600416047-4,[Greaves of Ten Storms],16949,item:16949::::::::60,Offspec / PvP/Greed,5,SHAMAN,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:19144::::::::60:::::::|h[Sabatons of the Flamewalker]|h|r,,4,false,Mail,Feet,,Broodlord Lashlayer
Pikotoro-Netherwind,9/18/20,03:18:33,1600417113-10,[Bracers of Ten Storms],16943,item:16943::::::::60,Offspec / PvP/Greed,8,SHAMAN,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff0070dd|Hitem:13211:856:::::::60:::1::::|h[Slashclaw Bracers]|h|r,,4,false,Mail,Wrist,,Wiggly-Netherwind
Pikotoro-Netherwind,9/18/20,03:18:41,1600417121-11,[Gauntlets of Ten Storms],16948,item:16948::::::::60,Offspec / PvP/Greed,7,SHAMAN,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff0070dd|Hitem:15063:931:::::::60:::::::|h[Devilsaur Gauntlets]|h|r,,4,false,Mail,Hands,,Firemaw
Pikotoro-Netherwind,9/18/20,04:01:36,1600419696-19,[Draconic Avenger],19354,item:19354::::::::60,Mainspec /Need,4,SHAMAN,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:18803::::::::60:::::::|h[Finkle's Lava Dredger]|h|r,,2,false,Two-Handed Axes,Two-Hand,,Wiggly-Netherwind
Pikotoro-Netherwind,9/18/20,04:17:38,1600420658-23,[Breastplate of Ten Storms],16950,item:16950::::::::60,Offspec / PvP/Greed,6,SHAMAN,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18530::::::::60:::1::::|h[Ogre Forged Hauberk]|h|r,,4,false,Mail,Chest,,Nefarian
Pikotoro-Netherwind,9/18/20,04:19:43,1600420783-27,[Head of Nefarian],19002,item:19002::::::::60,Mainspec /Need,4,SHAMAN,Blackwing Lair-40 Player,Nefarian,9,469,40,,,2,false,Quest,,,Nefarian
Pikotoro-Netherwind,9/20/20,22:32:59,1600659179-12,[Yellow Qiraji Resonating Crystal],21324,item:21324::::::::60,Best Available,0,SHAMAN,Temple of Ahn'Qiraj-40 Player,Fankriss the Unyielding,9,531,40,,,1,false,Junk,,,Fankriss the Unyielding
Pikotoro-Netherwind,9/21/20,00:27:22,1600666042-40,[Blue Qiraji Resonating Crystal],21218,item:21218::::::::60,Mainspec /Need,0,SHAMAN,Temple of Ahn'Qiraj-40 Player,Twin Emperors,9,531,40,,,2,false,Junk,,,Wiggly-Netherwind
Pikotoro-Netherwind,9/27/20,20:24:48,1601256288-1,[Epaulets of Ten Storms],16945,item:16945::::::::60,Offspec / PvP/Greed,4,SHAMAN,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:18810::::::::60:::::::|h[Wild Growth Spaulders]|h|r,,4,false,Mail,Shoulder,,Chromaggus
Pikotoro-Netherwind,9/27/20,21:30:05,1601260205-15,[Boots of the Fallen Prophet],21705,item:21705::::::::60,Best Available,3,SHAMAN,Temple of Ahn'Qiraj-40 Player,The Prophet Skeram,9,531,40,|cffa335ee|Hitem:19144::::::::60:::::::|h[Sabatons of the Flamewalker]|h|r,,1,false,Mail,Feet,,The Prophet Skeram
Pikotoro-Netherwind,9/27/20,22:14:53,1601262893-22,[Barbed Choker],21664,item:21664::::::::60,Best Available,4,SHAMAN,Temple of Ahn'Qiraj-40 Player,Fankriss the Unyielding,9,531,40,|cff0070dd|Hitem:15411::::::::60:::11::::|h[Mark of Fordring]|h|r,,1,false,Miscellaneous,Neck,,Fankriss the Unyielding
Spear-Netherwind,3/23/20,01:13:50,1584944030-9,[Aged Core Leather Gloves],18823,item:18823::::::::60,Best Available,7,ROGUE,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:15063::::::::60:::::::|h[Devilsaur Gauntlets]|h|r,,1,false,Leather,Hands,daggas 4eva,Garr
Spear-Netherwind,3/27/20,01:46:25,1585291585-4,[Bloodfang Hood],16908,item:16908::::::::60,Best Available,4,ROGUE,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:12587::::::::60:::1::::|h[Eye of Rend]|h|r,,1,false,Leather,Head,,Onyxia
Spear-Netherwind,4/10/20,02:27:54,1586503674-3,[Nightslayer Boots],16824,item:16824::::::::60,Mainspec /Need,4,ROGUE,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:13210:911:::::::60:::1::::|h[Pads of the Dread Wolf]|h|r,,2,false,Leather,Feet,0/8 ns,Shazzrah
Spear-Netherwind,5/17/20,21:44:03,1589769843-5,[Dragonfang Blade],19346,item:19346::::::::60,Mainspec /Need,9,ROGUE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:17071:1900:::::::60:::::::|h[Gutgore Ripper]|h|r,|cffa335ee|Hitem:14555:1900:::::::60:::1::::|h[Alcor's Sunrazor]|h|r,2,false,Daggers,One-Hand,not a perds but mo betta,Vaelastrasz the Corrupt
Spear-Netherwind,5/17/20,23:23:59,1589775839-19,[Bloodfang Spaulders],16832,item:16832::::::::60,Mainspec /Need,5,ROGUE,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:19835::::::::60:::11::::|h[Zandalar Madcap's Mantle]|h|r,,2,false,Leather,Shoulder,1/8 Bloodfang 3/8 Nightslayer would bring me 2/8 bf 3/8 ns,Chromaggus
Spear-Netherwind,5/18/20,02:14:12,1589786052-9,[Nightslayer Shoulder Pads],16823,item:16823::::::::60,Best Available,5,ROGUE,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cffa335ee|Hitem:16832::::::::60:::::::|h[Bloodfang Spaulders]|h|r,,1,false,Leather,Shoulder,,Wiggly-Netherwind
Spear-Netherwind,5/25/20,05:05:57,1590401157-27,[Head of Onyxia],18422,item:18422::::::::60,Mainspec /Need,4,ROGUE,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,2,false,Quest,,,Onyxia
Spear-Netherwind,6/01/20,02:14:09,1590995649-9,[Nightslayer Cover],16821,item:16821::::::::60,Offspec / PvP/Greed,5,ROGUE,Molten Core-40 Player,Unknown,9,409,40,|cffa335ee|Hitem:16908:2585:::::::60:::::::|h[Bloodfang Hood]|h|r,,4,false,Leather,Head,Fire resist,Wiggly-Netherwind
Spear-Netherwind,6/01/20,02:57:50,1590998270-26,[Bloodfang Pants],16909,item:16909::::::::60,Best Available,1,ROGUE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:15062::::::::60:::::::|h[Devilsaur Leggings]|h|r,,1,false,Leather,Legs,,Ragnaros
Cødex-Netherwind,8/14/20,04:41:44,1597398104-5,[Sapphiron Drape],17078,item:17078::::::::60,Mainspec /Need,2,PRIEST,Onyxia's Lair-40 Player,Unknown,9,249,40,|cff0070dd|Hitem:13386:884:::::1034:110919936:60:::1::::|h[Archivist Cape of the Whale]|h|r,,2,false,Cloth,Back,,Cødex-Netherwind
Cødex-Netherwind,8/20/20,02:23:37,1597908217-1,[Book: Gift of the Wild],17682,item:17682::::::::60,Autopass,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,AUTOPASS,false,Book,,,Onyxia
Cødex-Netherwind,8/20/20,02:23:52,1597908232-2,[Halo of Transcendence],16921,item:16921::::::::60,Best Available,5,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:22720::::::::60:::::::|h[Zulian Headdress]|h|r,,1,false,Cloth,Head,,Onyxia
Cødex-Netherwind,9/11/20,02:42:52,1599810172-3,[Bindings of Transcendence],16926,item:16926::::::::60,Best Available,4,PRIEST,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,|cffa335ee|Hitem:16819:1884:::::::60:::::::|h[Vambraces of Prophecy]|h|r,,1,false,Cloth,Wrist,,Wiggly-Netherwind
Cødex-Netherwind,9/11/20,03:46:14,1599813974-17,[Handguards of Transcendence],16920,item:16920::::::::60,Best Available,8,PRIEST,Blackwing Lair-40 Player,Firemaw,9,469,40,|cffa335ee|Hitem:16812::::::::60:::::::|h[Gloves of Prophecy]|h|r,,1,false,Cloth,Hands,,Wiggly-Netherwind
Cødex-Netherwind,9/14/20,00:04:06,1600059846-23,[Yellow Qiraji Resonating Crystal],21324,item:21324::::::::60,Best Available,1,PRIEST,Temple of Ahn'Qiraj-40 Player,Twin Emperors,9,531,40,,,1,false,Junk,,,Twin Emperors
Cødex-Netherwind,9/14/20,00:06:17,1600059977-24,[Green Qiraji Resonating Crystal],21323,item:21323::::::::60,Offspec / PvP/Greed,0,PRIEST,Temple of Ahn'Qiraj-40 Player,Twin Emperors,9,531,40,,,4,false,Junk,,,Twin Emperors
Cødex-Netherwind,9/21/20,00:25:01,1600665901-37,[Blue Qiraji Resonating Crystal],21218,item:21218::::::::60,Best Available,0,PRIEST,Temple of Ahn'Qiraj-40 Player,Twin Emperors,9,531,40,,,1,false,Junk,,,Twin Emperors
Cødex-Netherwind,9/27/20,20:25:23,1601256323-2,[Shimmering Geta],19391,item:19391::::::::60,Offspec / PvP/Greed,4,PRIEST,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:16811:851:::::::60:::::::|h[Boots of Prophecy]|h|r,,4,false,Cloth,Feet,,Chromaggus
Gaelicron-Netherwind,8/20/20,02:21:50,1597908110-0,[Stormrage Cover],16900,item:16900::::::::60,Offline or RCLootCouncil not installed,3,DRUID,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,NOTHING,false,Leather,Head,,Onyxia
Kakitsan-Netherwind,3/08/20,04:51:20,1583661080-10,[Sapphiron Drape],17078,item:17078::::::::60,Best Available,2,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:19121::::::::60:::11::::|h[Deep Woodlands Cloak]|h|r,,1,false,Cloth,Back,,Onyxia
Kakitsan-Netherwind,3/30/20,02:08:01,1585552081-10,[Band of Sulfuras],19138,item:19138::::::::60,Best Available,5,PRIEST,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:12545::::::::60:::11::::|h[Eye of Orgrimmar]|h|r,|cffa335ee|Hitem:1980::::::::60:::1::::|h[Underworld Band]|h|r,1,false,Miscellaneous,Finger,,Ragnaros
Kakitsan-Netherwind,4/17/20,02:40:25,1587109225-17,[Mantle of Prophecy],16816,item:16816::::::::60,Mainspec /Need,4,PRIEST,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:18681::::::::60:::1::::|h[Burial Shawl]|h|r,,2,false,Cloth,Shoulder,,Sulfuron Harbinger
Kakitsan-Netherwind,4/24/20,02:22:05,1587712925-0,[Girdle of Prophecy],16817,item:16817::::::::60,Mainspec /Need,1,PRIEST,Molten Core-40 Player,Unknown,9,409,40,|cffa335ee|Hitem:18809::::::::60:::::::|h[Sash of Whispered Secrets]|h|r,,2,false,Cloth,Waist,,Kakitsan-Netherwind
Kakitsan-Netherwind,4/24/20,03:15:50,1587716150-13,[The Eye of Divinity],18646,item:18646::::::::60,Best Available,6,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:18820::::::::60:::::::|h[Talisman of Ephemeral Power]|h|r,|cff1eff00|Hitem:10659::::::::60:::11::::|h[Shard of Afrasa]|h|r,1,false,Miscellaneous,Trinket,,Majordomo Executus
Kakitsan-Netherwind,5/08/20,01:34:32,1588919672-7,[Crimson Shocker],17077,item:17077::::::::60,Minor Upgrade,3,PRIEST,Molten Core-40 Player,Gehennas,9,409,40,|cff0070dd|Hitem:16997::::::::60:::11::::|h[Stormrager]|h|r,,3,false,Wands,,,Gehennas
Ezeekul-Netherwind,6/28/20,23:18:53,1593404333-20,[Taut Dragonhide Gloves],19390,item:19390::::::::60,Mainspec /Need,6,SHAMAN,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cff0070dd|Hitem:13184::::::::60:::1::::|h[Fallbrush Handgrips]|h|r,,2,false,Leather,Hands,,Chromaggus
Ezeekul-Netherwind,6/28/20,23:55:42,1593406542-25,[Therazane's Link],19380,item:19380::::::::60,Best Available,0,SHAMAN,,Chromaggus,0,0,0,|cffa335ee|Hitem:16838::::::::60:::::::|h[Earthfury Belt]|h|r,,1,false,Mail,Waist,,Wiggly-Netherwind
Ezeekul-Netherwind,6/29/20,00:36:48,1593409008-1,[Earthfury Boots],16837,item:16837::::::::60,Best Available,5,SHAMAN,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:11822::::::::60:::1::::|h[Omnicast Boots]|h|r,,1,false,Mail,Feet,,Wiggly-Netherwind
