player,date,time,item,itemID,itemString,response,votes,class,instance,boss,gear1,gear2,responseID,isAwardReason,rollType,subType,equipLoc,note,owner
Spear-Netherwind,3/22/20,19:13:50,[Aged Core Leather Gloves],18823,item:18823::::::::60,Best Available,7,ROGUE,Molten Core-40 Player,Garr,[Devilsaur Gauntlets],,1,FALSE,normal,Leather,Hands,daggas 4eva,Garr
Spear-Netherwind,3/26/20,19:46:25,[Bloodfang Hood],16908,item:16908::::::::60,Best Available,4,ROGUE,Onyxia's Lair-40 Player,Onyxia,[Eye of Rend],,1,FALSE,normal,Leather,Head,,Onyxia
Spear-Netherwind,04/09/20,20:27:54,[Nightslayer Boots],16824,item:16824::::::::60,Mainspec /Need,4,ROGUE,Molten Core-40 Player,Shazzrah,[Pads of the Dread Wolf],,2,FALSE,normal,Leather,Feet,0/8 ns,Shazzrah
Spear-Netherwind,4/19/20,11:45:54,[Primal Hakkari Girdle],19719,item:19719::::::::60,Mainspec /Need,3,ROGUE,Zul'Gurub-20 Player,High Priest Venoxis,,,2,FALSE,normal,Quest,,improvement to shadowcraft,High Priest Venoxis
Spear-Netherwind,4/19/20,12:21:20,[Primal Hakkari Idol],22637,item:22637::::::::60,Best Available,0,ROGUE,Zul'Gurub-20 Player,Bloodlord Mandokir,,,1,FALSE,normal,Junk,,Bloodfang helm,Bloodlord Mandokir
Spear-Netherwind,4/29/20,12:29:19,[Seal of the Gurubashi Berserker],22722,item:22722::::::::60,Mainspec /Need,5,ROGUE,Zul'Gurub-20 Player,High Priestess Jeklik,[Tarnished Elven Ring],[Blackstone Ring],2,FALSE,normal,Miscellaneous,Finger,,High Priestess Jeklik
Dencor-Netherwind,3/15/20,16:53:16,[Bracelets of Wrath],16959,item:16959::::::::60,Mainspec /Need,2,WARRIOR,Blackwing Lair-40 Player,Razorgore the Untamed,[Bracers of Might],,2,FALSE,normal,Plate,Wrist,,Razorgore the Untamed
Dencor-Netherwind,3/15/20,18:37:41,[Gauntlets of Might],16863,item:16863::::::::60,Best Available,5,WARRIOR,Molten Core-40 Player,Lucifron,[Voone's Vice Grips],,1,FALSE,normal,Plate,Hands,,Lucifron
Dencor-Netherwind,3/15/20,21:30:01,[Ring of Binding],18813,item:18813::::::::60,Mainspec /Need,4,WARRIOR,Onyxia's Lair-40 Player,Onyxia,[Jasper Link of Fire Resistance],[Jasper Link of Fire Resistance],2,FALSE,normal,Miscellaneous,Finger,,Onyxia
Dencor-Netherwind,3/15/20,21:30:30,[Head of Onyxia],18422,item:18422::::::::60,Best Available,3,WARRIOR,Onyxia's Lair-40 Player,Onyxia,,,1,FALSE,normal,Quest,,,Onyxia
Dencor-Netherwind,3/22/20,20:17:31,[Wristguards of True Flight],18812,item:18812::::::::60,Best Available,6,WARRIOR,Molten Core-40 Player,Majordomo Executus,[Bracelets of Wrath],,1,FALSE,normal,Mail,Wrist,,Majordomo Executus
Dencor-Netherwind,3/22/20,20:36:25,[Legplates of Wrath],16962,item:16962::::::::60,Mainspec /Need,5,WARRIOR,Molten Core-40 Player,Ragnaros,[Volcanic Leggings],,2,FALSE,normal,Plate,Legs,will give a 3 piece bonus,Ragnaros
Dencor-Netherwind,3/29/20,19:52:53,[Core Forged Greaves],18806,item:18806::::::::60,Mainspec /Need,4,WARRIOR,Molten Core-40 Player,Majordomo Executus,[Bloodmail Boots],,2,FALSE,normal,Plate,Feet,i dont have an FR for boots yet,Majordomo Executus
Dencor-Netherwind,3/15/20,21:30:43,[Feathermoon Headdress],13113,item:13113::::::::60,Offspec / PvP,0,WARRIOR,Onyxia's Lair-40 Player,Onyxia,[Helm of Wrath],,4,FALSE,normal,Leather,Head,,Onyxia
Dencor-Netherwind,04/05/20,21:26:23,[Earthborn Kilt],9402,item:9402::::::::60,Offspec / PvP,1,WARRIOR,Onyxia's Lair-40 Player,Onyxia,[Legplates of Wrath],,4,FALSE,normal,Leather,Legs,,Onyxia
Dencor-Netherwind,4/16/20,21:02:00,[Core Hound Tooth],18805,item:18805::::::::60,Best Available,5,WARRIOR,Molten Core-40 Player,Majordomo Executus,[Eskhandar's Right Claw],[Mirah's Song],1,FALSE,normal,Daggers,One-Hand,,Majordomo Executus
Dencor-Netherwind,4/16/20,23:40:08,[Overlord's Crimson Band],19873,item:19873::::::::60,Mainspec/Need,2,WARRIOR,Zul'Gurub-20 Player,Bloodlord Mandokir,[Overlord's Onyx Band],[Blackstone Ring],1,FALSE,normal,Miscellaneous,Finger,i will have the set with this. great mitigation.,Bloodlord Mandokir
Dencor-Netherwind,4/23/20,23:56:39,[Gri'lek's Grinder],19961,item:19961::::::::60,Offspec / PvP,2,WARRIOR,Zul'Gurub-20 Player,Edge of Madness,[Eskhandar's Right Claw],[Drillborer Disk],4,FALSE,normal,One-Handed Maces,One-Hand,,Edge of Madness
Dencor-Netherwind,4/24/20,1:21:58,"[Zin'rokh, Destroyer of Worlds]",19854,item:19854::::::::60,Minor Upgrade,2,WARRIOR,Zul'Gurub-20 Player,Hakkar,[Eskhandar's Right Claw],[Drillborer Disk],3,FALSE,normal,Two-Handed Swords,Two-Hand,ill actually have a 2h!,Hakkar
Hellsgeneral-Netherwind,3/14/20,21:36:04,[Helm of Wrath],16963,item:16963::::::::60,Mainspec /Need,5,WARRIOR,Onyxia's Lair-40 Player,Onyxia,[Golem Skull Helm],,2,FALSE,normal,Plate,Head,,Onyxia
Hellsgeneral-Netherwind,3/15/20,19:25:06,[Bindings of the Windseeker],18563,item:18563::::::::60,Best Available,5,WARRIOR,Molten Core-40 Player,Baron Geddon,,,1,FALSE,normal,Junk,,,Baron Geddon
Hellsgeneral-Netherwind,3/15/20,20:36:42,[Band of Accuria],17063,item:17063::::::::60,Best Available,3,WARRIOR,Molten Core-40 Player,Ragnaros,[Jasper Link of Fire Resistance],[Ocean's Breeze],1,FALSE,normal,Miscellaneous,Finger,,Ragnaros
Hellsgeneral-Netherwind,3/22/20,18:51:03,[Sabatons of Might],16862,item:16862::::::::60,Mainspec /Need,7,WARRIOR,Molten Core-40 Player,Gehennas,[Grimy Metal Boots],,2,FALSE,normal,Plate,Feet,,Gehennas
Hellsgeneral-Netherwind,04/02/20,19:37:52,[Plans: Elemental Sharpening Stone],18264,item:18264::::::::60,Best Available,4,WARRIOR,Molten Core-40 Player,Magmadar,,,1,FALSE,normal,Blacksmithing,,,Magmadar
Hellsgeneral-Netherwind,4/19/20,17:55:49,[Waistband of Wrath],16960,item:16960::::::::60,Mainspec /Need,5,WARRIOR,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Brigam Girdle],,2,FALSE,normal,Plate,Waist,,Vaelastrasz the Corrupt
Hellsgeneral-Netherwind,4/19/20,11:38:30,[Sacrificial Gauntlets],22714,item:22714::::::::60,Offspec / PvP,3,WARRIOR,Zul'Gurub-20 Player,High Priestess Jeklik,[Gauntlets of Might],,4,FALSE,normal,Plate,Hands,,High Priestess Jeklik
Hellsgeneral-Netherwind,4/23/20,19:38:19,[Belt of Might],16864,item:16864::::::::60,Offspec / PvP,2,WARRIOR,Molten Core-40 Player,Magmadar,[Brigam Girdle],,4,FALSE,normal,Plate,Waist,,Wiggly-Netherwind
Hellsgeneral-Netherwind,4/26/20,18:41:19,[Pauldrons of Wrath],16961,item:16961::::::::60,Mainspec /Need,6,WARRIOR,Blackwing Lair-40 Player,Chromaggus,[Pauldrons of Might],,2,FALSE,normal,Plate,Shoulder,"Draaketalon better, but priority to DPS Wars",Chromaggus
Kakitsan-Netherwind,03/07/20,21:51:20,[Sapphiron Drape],17078,item:17078::::::::60,Mainspec/Need,2,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Deep Woodlands Cloak],,1,FALSE,normal,Cloth,Back,,Onyxia
Kakitsan-Netherwind,3/29/20,20:08:01,[Band of Sulfuras],19138,item:19138::::::::60,Best Available,5,PRIEST,Molten Core-40 Player,Ragnaros,[Eye of Orgrimmar],[Underworld Band],1,FALSE,normal,Miscellaneous,Finger,,Ragnaros
Kakitsan-Netherwind,4/16/20,20:40:25,[Mantle of Prophecy],16816,item:16816::::::::60,Mainspec /Need,4,PRIEST,Molten Core-40 Player,Sulfuron Harbinger,[Burial Shawl],,2,FALSE,normal,Cloth,Shoulder,,Sulfuron Harbinger
Kakitsan-Netherwind,4/23/20,20:22:05,[Girdle of Prophecy],16817,item:16817::::::::60,Mainspec /Need,1,PRIEST,Molten Core-40 Player,Unknown,[Sash of Whispered Secrets],,2,FALSE,normal,Cloth,Waist,,Kakitsan-Netherwind
Kakitsan-Netherwind,4/23/20,21:15:50,[The Eye of Divinity],18646,item:18646::::::::60,Best Available,6,PRIEST,Molten Core-40 Player,Majordomo Executus,[Talisman of Ephemeral Power],[Shard of Afrasa],1,FALSE,normal,Miscellaneous,Trinket,,Majordomo Executus
Katagarena-Netherwind,3/22/20,20:19:31,[Finkle's Lava Dredger],18803,item:18803::::::::60,Offspec / PvP,4,DRUID,Molten Core-40 Player,Majordomo Executus,[Aurastone Hammer],[Lei of the Lifegiver],4,FALSE,normal,Two-Handed Maces,Two-Hand,,Majordomo Executus
Katagarena-Netherwind,3/29/20,18:24:49,[Cenarion Leggings],16835,item:16835::::::::60,Offspec / PvP,4,DRUID,Molten Core-40 Player,Magmadar,[Stormrage Legguards],,4,FALSE,normal,Leather,Legs,,Magmadar
Feshi-Netherwind,3/14/20,21:37:24,[Shard of the Scale],17064,item:17064::::::::60,Best Available,4,SHAMAN,Onyxia's Lair-40 Player,Onyxia,[Enamored Water Spirit],[Royal Seal of Eldre'Thalas],1,FALSE,normal,Miscellaneous,Trinket,,Onyxia
Feshi-Netherwind,04/02/20,21:14:49,[Wild Growth Spaulders],18810,item:18810::::::::60,Best Available,6,SHAMAN,Molten Core-40 Player,Majordomo Executus,[Earthfury Epaulets],,1,FALSE,normal,Leather,Shoulder,,Majordomo Executus
Feshi-Netherwind,04/02/20,21:30:36,[Legplates of Ten Storms],16946,item:16946::::::::60,Mainspec /Need,7,SHAMAN,Molten Core-40 Player,Ragnaros,[Earthfury Legguards],,2,FALSE,normal,Mail,Legs,,Ragnaros
Feshi-Netherwind,4/12/20,19:21:21,[Gauntlets of Ten Storms],16948,item:16948::::::::60,Mainspec /Need,6,SHAMAN,Blackwing Lair-40 Player,Ebonroc,[Harmonious Gauntlets],,2,FALSE,normal,Mail,Hands,,Ebonroc
Feshi-Netherwind,4/23/20,19:38:09,[Deep Earth Spaulders],18829,item:18829::::::::60,Offspec / PvP,3,SHAMAN,Molten Core-40 Player,Magmadar,[Wild Growth Spaulders],,4,FALSE,normal,Mail,Shoulder,ele set,Magmadar
Feshi-Netherwind,4/23/20,21:15:44,[Cauterizing Band],19140,item:19140::::::::60,Best Available,3,SHAMAN,Molten Core-40 Player,Majordomo Executus,[Emerald Flame Ring],[Fordring's Seal],1,FALSE,normal,Miscellaneous,Finger,,Majordomo Executus
Mulched-Netherwind,3/15/20,19:24:45,[Felheart Shoulder Pads],16807,item:16807::::::::60,Mainspec /Need,6,WARLOCK,Molten Core-40 Player,Baron Geddon,[Kentic Amice],,2,FALSE,normal,Cloth,Shoulder,,Baron Geddon
Mulched-Netherwind,3/15/20,19:36:45,[Felheart Slippers],16803,item:16803::::::::60,Mainspec /Need,4,WARLOCK,Molten Core-40 Player,Shazzrah,[Omnicast Boots],,2,FALSE,normal,Cloth,Feet,,Shazzrah
Mulched-Netherwind,3/22/20,18:21:41,[Felheart Gloves],16805,item:16805::::::::60,Mainspec /Need,5,WARLOCK,Molten Core-40 Player,Lucifron,[Brightspark Gloves],,2,FALSE,normal,Cloth,Hands,blue upgrade,Lucifron
Mulched-Netherwind,3/22/20,18:28:02,[Felheart Pants],16810,item:16810::::::::60,Mainspec /Need,7,WARLOCK,Molten Core-40 Player,Magmadar,[Felcloth Pants],,2,FALSE,normal,Cloth,Legs,Felcloth pants,Magmadar
Uplift-Netherwind,3/22/20,15:42:32,[Mantle of the Blackwing Cabal],19370,item:19370::::::::60,Best Available,6,WARLOCK,Blackwing Lair-40 Player,Razorgore the Untamed,[Felcloth Shoulders],,1,FALSE,normal,Cloth,Shoulder,,Razorgore the Untamed
Uplift-Netherwind,3/29/20,17:02:07,[Bracers of Arcane Accuracy],19374,item:19374::::::::60,Best Available,5,WARLOCK,Blackwing Lair-40 Player,Broodlord Lashlayer,[Felheart Bracers],,1,FALSE,normal,Cloth,Wrist,,Broodlord Lashlayer
Uplift-Netherwind,04/02/20,22:56:11,[Nemesis Skullcap],16929,item:16929::::::::60,Best Available,5,WARLOCK,Onyxia's Lair-40 Player,Onyxia,[Crimson Felt Hat],,1,FALSE,normal,Cloth,Head,FINALLY,Onyxia
Uplift-Netherwind,4/12/20,18:47:11,[Band of Dark Dominion],19434,item:19434::::::::60,Best Available,5,WARLOCK,Blackwing Lair-40 Player,Unknown,[Band of Rumination],[Underworld Band],1,FALSE,normal,Miscellaneous,Finger,Huge upgrade,Uplift-Netherwind
Uplift-Netherwind,4/16/20,20:13:59,[Robe of Volatile Power],19145,item:19145::::::::60,Mainspec /Need,5,WARLOCK,Molten Core-40 Player,Shazzrah,[High Councillor's Tunic of Shadow Wrath],,2,FALSE,normal,Cloth,Chest,,Shazzrah
Uplift-Netherwind,4/26/20,16:52:18,[Shadow Wing Focus Staff],19355,item:19355::::::::60,Best Available,6,WARLOCK,Blackwing Lair-40 Player,Firemaw,[Sacrificial Kris of Shadow Wrath],[Tome of Shadow Force],1,FALSE,normal,Staves,Two-Hand,Huge upgrade. Cant get mageblade..,Firemaw
Nyala-Netherwind,4/30/20,19:58:18,[Cenarion Spaulders],16836,item:16836::::::::60,Offspec / PvP,3,DRUID,Molten Core-40 Player,Baron Geddon,[Shadowcraft Spaulders],,4,FALSE,normal,Leather,Shoulder,,Baron Geddon
Ringalicious-Netherwind,3/15/20,21:29:03,[Lunar Wand of Intellect],15283,item:15283::::::175:741683712:60,Offspec / PvP,1,ROGUE,Onyxia's Lair-40 Player,Onyxia,[Striker's Mark],,4,FALSE,normal,Wands,,,Onyxia
Poliidara-Netherwind,3/15/20,20:35:29,[Leggings of Transcendence],16922,item:16922::::::::60,Best Available,4,PRIEST,Molten Core-40 Player,Ragnaros,[Senior Designer's Pantaloons],,1,FALSE,normal,Cloth,Legs,,Ragnaros
Poliidara-Netherwind,3/26/20,19:44:25,[Onyxia Hide Backpack],17966,item:17966::::::::60,Mainspec /Need,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,,,2,FALSE,normal,Bag,Bag,,Onyxia
Poliidara-Netherwind,3/26/20,19:45:22,[Codex: Prayer of Fortitude II],17414,item:17414::::::::60,Offspec / PvP,1,PRIEST,Onyxia's Lair-40 Player,Onyxia,,,4,FALSE,normal,Book,,,Onyxia
Poliidara-Netherwind,3/21/20,23:23:22,[Book: Gift of the Wild],17682,item:17682::::::::60,Offspec / PvP,1,PRIEST,Onyxia's Lair-40 Player,Onyxia,,,4,FALSE,normal,Book,,,Onyxia
Poliidara-Netherwind,4/16/20,23:04:33,[Primal Hakkari Stanchion],19718,item:19718::::::::60,Offspec/Greed,2,PRIEST,Zul'Gurub-20 Player,High Priest Venoxis,,,2,FALSE,normal,Quest,,,High Priest Venoxis
Poliidara-Netherwind,4/16/20,23:25:11,[Mar'li's Eye],19930,item:19930::::::::60,Candidate didn't respond on time,1,PRIEST,Zul'Gurub-20 Player,High Priestess Mar'li,[Eye of the Beast],[Royal Seal of Eldre'Thalas],TIMEOUT,FALSE,normal,Miscellaneous,Trinket,,High Priestess Mar'li
Poliidara-Netherwind,4/23/20,23:01:26,[Primal Hakkari Sash],19720,item:19720::::::::60,Minor Upgrade,0,PRIEST,Zul'Gurub-20 Player,High Priest Venoxis,,,3,FALSE,normal,Quest,,,High Priest Venoxis
Shmurdah-Netherwind,04/09/20,20:01:09,[Giantstalker's Helmet],16846,item:16846::::::::60,Best Available,4,HUNTER,Molten Core-40 Player,Garr,[Beaststalker's Cap],,1,FALSE,normal,Mail,Head,,Garr
Shmurdah-Netherwind,04/09/20,21:26:52,[Ancient Petrified Leaf],18703,item:18703::::::::60,Best Available,5,HUNTER,Molten Core-40 Player,Majordomo Executus,,,1,FALSE,normal,Quest,,,Majordomo Executus
Shmurdah-Netherwind,04/09/20,22:20:21,[Mature Black Dragon Sinew],18705,item:18705::::::::60,Best Available,5,HUNTER,Onyxia's Lair-40 Player,Onyxia,,,1,FALSE,normal,Quest,,,Onyxia
Shmurdah-Netherwind,4/19/20,12:49:51,[Thekal's Grasp],19896,item:19896::::::::60,Mainspec /Need,3,HUNTER,Zul'Gurub-20 Player,High Priest Thekal,"[Lok'delar, Stave of the Ancient Keepers]",,2,FALSE,normal,Fist Weapons,Main Hand,,High Priest Thekal
Shmurdah-Netherwind,4/19/20,12:50:02,[Primal Hakkari Shawl],19721,item:19721::::::::60,Mainspec /Need,3,HUNTER,Zul'Gurub-20 Player,High Priest Thekal,,,2,FALSE,normal,Quest,,,High Priest Thekal
Shmurdah-Netherwind,4/24/20,0:31:43,[Arlokk's Grasp],19910,item:19910::::::::60,Best Available,2,HUNTER,Zul'Gurub-20 Player,High Priestess Arlokk,[Bone Slicing Hatchet],,1,FALSE,normal,Fist Weapons,Off Hand,,High Priestess Arlokk
Mizerath-Netherwind,3/14/20,21:37:46,[Head of Onyxia],18422,item:18422::::::::60,Best Available,2,SHAMAN,Onyxia's Lair-40 Player,Onyxia,,,1,FALSE,normal,Quest,,Neck is BiS,Onyxia
Mizerath-Netherwind,3/22/20,19:13:41,[Earthfury Helmet],16842,item:16842::::::::60,Offspec / PvP,8,SHAMAN,Molten Core-40 Player,Garr,[Eye of Rend],,4,FALSE,normal,Mail,Head,offspec,Garr
Mizerath-Netherwind,3/29/20,18:31:12,[Earthfury Bracers],16840,item:16840::::::::60,Minor Upgrade,6,SHAMAN,Molten Core-40 Player,Magmadar,[Wristguards of True Flight],,3,FALSE,normal,Mail,Wrist,offspec,Magmadar
Mizerath-Netherwind,04/02/20,21:06:25,[Sabatons of the Flamewalker],19144,item:19144::::::::60,Best Available,8,SHAMAN,Molten Core-40 Player,Golemagg the Incinerator,[Savage Gladiator Greaves],,1,FALSE,normal,Mail,Feet,BiS currently till nef,Golemagg the Incinerator
Mizerath-Netherwind,04/02/20,21:29:01,[Crown of Destruction],18817,item:18817::::::::60,Best Available,8,SHAMAN,Molten Core-40 Player,Ragnaros,[Eye of Rend],,1,FALSE,normal,Mail,Head,,Ragnaros
Mizerath-Netherwind,04/05/20,20:49:07,[Emberweave Leggings],19433,item:19433::::::::60,Mainspec /Need,7,SHAMAN,Blackwing Lair-40 Player,Flamegor,[Devilsaur Leggings],,2,FALSE,normal,Mail,Legs,FR pants,Flamegor
Mizerath-Netherwind,04/09/20,21:28:26,[Fireguard Shoulders],19139,item:19139::::::::60,Minor Upgrade,5,SHAMAN,Molten Core-40 Player,Majordomo Executus,[Death's Clutch],,3,FALSE,normal,Leather,Shoulder,FR,Majordomo Executus
Mizerath-Netherwind,04/09/20,21:29:28,[Wild Growth Spaulders],18810,item:18810::::::::60,Minor Upgrade,4,SHAMAN,Molten Core-40 Player,Majordomo Executus,[Death's Clutch],,3,FALSE,normal,Leather,Shoulder,os,Majordomo Executus
Mizerath-Netherwind,4/12/20,19:29:29,[Circle of Applied Force],19432,item:19432::::::::60,Best Available,4,SHAMAN,Blackwing Lair-40 Player,Flamegor,[Don Julio's Band],[Blackstone Ring],1,FALSE,normal,Miscellaneous,Finger,,Flamegor
Mizerath-Netherwind,4/16/20,19:27:16,[Earthfury Legguards],16843,item:16843::::::::60,Minor Upgrade,5,SHAMAN,Molten Core-40 Player,Magmadar,[Devilsaur Leggings],,3,FALSE,normal,Mail,Legs,OS,Magmadar
Mizerath-Netherwind,4/16/20,21:18:57,[Legplates of Ten Storms],16946,item:16946::::::::60,Minor Upgrade,6,SHAMAN,Molten Core-40 Player,Ragnaros,[Devilsaur Leggings],,3,FALSE,normal,Mail,Legs,OS,Ragnaros
Mizerath-Netherwind,4/19/20,18:35:03,[Black Brood Pauldrons],19373,item:19373::::::::60,Minor Upgrade,7,SHAMAN,Blackwing Lair-40 Player,Broodlord Lashlayer,[Death's Clutch],,3,FALSE,normal,Mail,Shoulder,totem twisting??,Broodlord Lashlayer
Mizerath-Netherwind,3/21/20,23:21:29,[Helmet of Ten Storms],16947,item:16947::::::::60,Offspec / PvP,2,SHAMAN,Onyxia's Lair-40 Player,Onyxia,[Eye of Rend],,4,FALSE,normal,Mail,Head,offspec,Onyxia
Mizerath-Netherwind,4/16/20,23:05:05,[Zulian Scepter of Rites],22713,item:22713::::::::60,Offspec/Greed,2,SHAMAN,Zul'Gurub-20 Player,High Priest Venoxis,[Nightfall],,2,FALSE,normal,One-Handed Maces,One-Hand,OS,High Priest Venoxis
Mizerath-Netherwind,4/26/20,18:39:33,[Primalist's Linked Waistguard],19393,item:19393::::::::60,Minor Upgrade,8,SHAMAN,Blackwing Lair-40 Player,Chromaggus,[Bloodmail Belt],,3,FALSE,normal,Mail,Waist,upgrade?,Chromaggus
Mizerath-Netherwind,4/30/20,20:59:45,[Malistar's Defender],17106,item:17106::::::::60,Minor Upgrade,4,SHAMAN,Molten Core-40 Player,Ragnaros,,,3,FALSE,normal,Shields,Off Hand,OS/pvp,Ragnaros
Lissbo-Netherwind,3/22/20,19:36:26,[Giantstalker's Gloves],16852,item:16852::::::::60,Mainspec /Need,6,HUNTER,Molten Core-40 Player,Shazzrah,[Devilsaur Gauntlets],,2,FALSE,normal,Mail,Hands,,Shazzrah
Lissbo-Netherwind,4/23/20,20:02:27,[Giantstalker's Helmet],16846,item:16846::::::::60,Best Available,5,HUNTER,Molten Core-40 Player,Garr,[Mask of the Unforgiven],,1,FALSE,normal,Mail,Head,,Garr
Taprackbang-Netherwind,3/14/20,21:36:18,[Dragonstalker's Helm],16939,item:16939::::::::60,Mainspec /Need,5,HUNTER,Onyxia's Lair-40 Player,Onyxia,[Mask of the Unforgiven],,2,FALSE,normal,Mail,Head,,Onyxia
Taprackbang-Netherwind,3/15/20,19:36:41,[Giantstalker's Gloves],16852,item:16852::::::::60,Mainspec /Need,6,HUNTER,Molten Core-40 Player,Shazzrah,[Trueaim Gauntlets],,2,FALSE,normal,Mail,Hands,upgrade,Shazzrah
Taprackbang-Netherwind,3/15/20,19:45:57,[Giantstalker's Belt],16851,item:16851::::::::60,Mainspec /Need,3,HUNTER,Molten Core-40 Player,Shazzrah,[Beaststalker's Belt],,2,FALSE,normal,Mail,Waist,upgrade from beast stalker belt,Shazzrah
Taprackbang-Netherwind,3/15/20,20:13:59,[Ancient Petrified Leaf],18703,item:18703::::::::60,Mainspec /Need,3,HUNTER,Molten Core-40 Player,Majordomo Executus,,,2,FALSE,normal,Quest,,,Majordomo Executus
Taprackbang-Netherwind,3/15/20,21:28:31,[Mature Black Dragon Sinew],18705,item:18705::::::::60,Mainspec /Need,6,HUNTER,Onyxia's Lair-40 Player,Onyxia,,,2,FALSE,normal,Quest,,,Onyxia
Wiggly-Netherwind,3/15/20,19:54:10,[Shadowstrike],17074,item:17074::::::::60,Offspec / PvP,4,WARRIOR,Molten Core-40 Player,Sulfuron Harbinger,[Mirah's Song],[The Immovable Object],4,FALSE,normal,Polearms,Two-Hand,,Sulfuron Harbinger
Wiggly-Netherwind,3/15/20,20:05:14,[Breastplate of Might],16865,item:16865::::::::60,Offspec / PvP,3,WARRIOR,Molten Core-40 Player,Golemagg the Incinerator,[Deathdealer Breastplate],,4,FALSE,normal,Plate,Chest,3 set,Golemagg the Incinerator
